episode_index,length_frames,length_seconds
1004,1614,53.8
1005,2135,71.167
1006,1705,56.833
1007,1685,56.167
1008,1293,43.1
1009,2078,69.267
1010,1482,49.4
1011,1403,46.767
1012,1868,62.267
1013,1483,49.433
1014,1950,65.0
1015,1459,48.633
1016,1881,62.7
1017,1426,47.533
1018,1575,52.5
1019,1484,49.467
1020,1909,63.633
1021,1949,64.967
1022,1721,57.367
1023,1433,47.767
1024,1612,53.733
1025,1912,63.733
1026,1598,53.267
1027,2171,72.367
1028,1542,51.4
1029,1937,64.567
1030,1266,42.2
1031,1566,52.2
1032,2024,67.467
1033,1711,57.033
1034,1581,52.7
1035,2171,72.367
1036,1586,52.867
1037,2101,70.033
1038,1730,57.667
1039,1945,64.833
1040,1768,58.933
1041,1650,55.0
1042,1687,56.233
1043,1694,56.467
1044,1888,62.933
1045,1710,57.0
1046,1600,53.333
