episode_index,length_frames,length_seconds
639,1813,60.433
640,1459,48.633
641,1754,58.467
642,1784,59.467
643,1565,52.167
644,1960,65.333
645,2148,71.6
646,1370,45.667
647,1925,64.167
648,1467,48.9
649,1764,58.8
650,1514,50.467
651,1824,60.8
652,2129,70.967
653,2363,78.767
654,1881,62.7
655,1865,62.167
656,1713,57.1
657,1656,55.2
658,2341,78.033
659,1883,62.767
660,1603,53.433
661,1721,57.367
662,1578,52.6
663,1930,64.333
664,1851,61.7
665,1446,48.2
666,1776,59.2
667,1936,64.533
668,1919,63.967
669,1875,62.5
670,2232,74.4
671,1974,65.8
672,1653,55.1
673,1643,54.767
674,1556,51.867
675,2400,80.0
676,1823,60.767
677,1382,46.067
678,2066,68.867
679,1990,66.333
680,1930,64.333
681,1779,59.3
682,1851,61.7
683,1556,51.867
684,1676,55.867
685,1880,62.667
686,1456,48.533
687,1986,66.2
688,1656,55.2
689,1583,52.767
690,1553,51.767
691,1687,56.233
692,1514,50.467
693,1726,57.533
694,1358,45.267
695,1551,51.7
696,1532,51.067
697,1427,47.567
698,1566,52.2
699,1595,53.167
700,1559,51.967
701,1482,49.4
702,1771,59.033
703,1484,49.467
704,1894,63.133
705,1784,59.467
706,1744,58.133
707,1630,54.333
708,2385,79.5
709,1585,52.833
710,1350,45.0
711,1456,48.533
712,1429,47.633
713,1475,49.167
714,1433,47.767
715,1553,51.767
716,1410,47.0
717,1425,47.5
718,1501,50.033
719,1657,55.233
720,1371,45.7
721,2049,68.3
722,1416,47.2
723,1706,56.867
724,1428,47.6
725,1597,53.233
726,1503,50.1
727,1611,53.7
728,1483,49.433
729,1613,53.767
730,1434,47.8
731,1567,52.233
732,1493,49.767
733,1422,47.4
734,1643,54.767
735,1835,61.167
736,1395,46.5
737,1856,61.867
738,1564,52.133
739,1778,59.267
740,1450,48.333
741,1487,49.567
742,1822,60.733
743,1793,59.767
744,1769,58.967
745,1933,64.433
746,1634,54.467
747,1706,56.867
748,1937,64.567
749,1903,63.433
750,2078,69.267
751,1718,57.267
752,1397,46.567
753,1554,51.8
754,1986,66.2
755,1630,54.333
756,1535,51.167
757,1398,46.6
758,1661,55.367
759,2014,67.133
760,2084,69.467
761,1710,57.0
762,1617,53.9
763,1403,46.767
764,1494,49.8
765,1807,60.233
766,2001,66.7
767,1607,53.567
768,1718,57.267
769,1530,51.0
770,1540,51.333
771,1505,50.167
772,1752,58.4
773,1813,60.433
774,1350,45.0
775,1370,45.667
776,2744,91.467
777,1912,63.733
778,1566,52.2
779,1719,57.3
780,1768,58.933
781,1757,58.567
782,1926,64.2
783,1356,45.2
784,1571,52.367
785,1650,55.0
786,2199,73.3
787,1876,62.533
788,1439,47.967
789,1989,66.3
790,1768,58.933
791,1411,47.033
792,1481,49.367
793,1751,58.367
794,1718,57.267
795,1705,56.833
796,1927,64.233
797,1949,64.967
798,1831,61.033
799,2064,68.8
800,1426,47.533
801,2102,70.067
802,2087,69.567
803,1430,47.667
804,1924,64.133
805,1657,55.233
806,1846,61.533
807,1526,50.867
808,2059,68.633
809,1513,50.433
810,1566,52.2
811,1485,49.5
812,1556,51.867
813,1702,56.733
814,1714,57.133
815,1706,56.867
816,1531,51.033
817,1566,52.2
818,1674,55.8
819,1997,66.567
820,1662,55.4
821,1586,52.867
822,1720,57.333
823,1356,45.2
824,1359,45.3
825,1919,63.967
826,1490,49.667
827,1546,51.533
828,1445,48.167
829,1560,52.0
830,1665,55.5
831,1495,49.833
